source_url,room_count,pricerange,postcode,address_line,name,locality,country,longitude,rating_summary,state,amenities,stars,latitude,traveler_rating,alternative_names
http://www.tripadvisor.com/Hotel_Review-g58159-d225898-Reviews-Microtel_Inn_Suites_by_Wyndham_Richmond_Airport-Sandston_Virginia.html,100,$,23150,6000 Audubon Drive,Microtel Inn & Suites by Wyndham Richmond Airport,Sandston,,-77.326004,"[(u'Location', u'4 of 5 stars'), (u'Sleep Quality', u'3 of 5 stars'), (u'Rooms', u'3 of 5 stars'), (u'Service', u'3.5 of 5 stars'), (u'Value', u'3 of 5 stars'), (u'Cleanliness', u'3 of 5 stars')]",VA,"Free Parking,Free Breakfast,Fitness Center with Gym / Workout Room",3.0,37.524982,"[(u'Excellent', u'38'), (u'Very good', u'51'), (u'Average', u'73'), (u'Poor', u'57'), (u'Terrible', u'52')]","Microtel Inn And Suites Richmond Airport,Microtel Inn & Suites Richmond Airport Hotel Sandston,Microtel Sandston,Microtel Richmond Airport,Sandston Microtel"
http://www.tripadvisor.com/Hotel_Review-g58696-d1719741-Reviews-The_Suites_at_Crescent_Bay_Resort-Quincy_Washington.html,14,,98848,23772 Crescent Bay Drive NW,The Suites at Crescent Bay Resort,Quincy,,-120.000511,"[(u'Location', u'4.5 of 5 stars'), (u'Sleep Quality', u'4.5 of 5 stars'), (u'Rooms', u'5 of 5 stars'), (u'Service', u'3 of 5 stars'), (u'Value', u'4 of 5 stars'), (u'Cleanliness', u'4 of 5 stars')]",WA,,3.5,47.223846,"[(u'Excellent', u'5'), (u'Very good', u'3'), (u'Average', u'1'), (u'Poor', u'2'), (u'Terrible', u'2')]",
http://www.tripadvisor.com/Hotel_Review-g57436-d110372-Reviews-Southface_Deluxe_Townhomes-Warren_Vermont.html,6,$$,05674,Sugarbush Access Road,Southface Deluxe Townhomes,Warren,,-72.871048,,VT,,,44.141979,,
http://www.tripadvisor.com/Hotel_Review-g59883-d2392449-Reviews-Maxsells_Bed_Breakfast-Florence_Wisconsin.html,4,,54121,209 Central Ave (USH 2),Maxsells Bed & Breakfast,Florence,,-88.244987,"[(u'Location', u'4.5 of 5 stars'), (u'Sleep Quality', u'4.5 of 5 stars'), (u'Rooms', u'4.5 of 5 stars'), (u'Service', u'5 of 5 stars'), (u'Value', u'4.5 of 5 stars'), (u'Cleanliness', u'4.5 of 5 stars')]",WI,"Beach,Room Service,Free Internet,Free Parking,Restaurant,Bar/Lounge,Free Breakfast,Fitness Center with Gym / Workout Room",4.5,45.922291,"[(u'Excellent', u'2'), (u'Very good', u'1'), (u'Average', u'0'), (u'Poor', u'0'), (u'Terrible', u'0')]",
http://www.tripadvisor.com/Hotel_Review-g28949-d650516-Reviews-Wild_Horse_Safaris-Nevada.html,3,$,89000,Ike's Canyon,Wild Horse Safaris,,,-116.726471,"[(u'Location', u'5 of 5 stars'), (u'Sleep Quality', u'5 of 5 stars'), (u'Rooms', u'5 of 5 stars'), (u'Service', u'5 of 5 stars'), (u'Value', u'5 of 5 stars'), (u'Cleanliness', u'5 of 5 stars')]",NV,,5.0,39.048264,"[(u'Excellent', u'31'), (u'Very good', u'0'), (u'Average', u'0'), (u'Poor', u'0'), (u'Terrible', u'0')]",
http://www.tripadvisor.com/Hotel_Review-g29750-d98533-Reviews-Trump_Taj_Mahal-Atlantic_City_New_Jersey.html,1250,$,08401,1000 Boardwalk at Virginia Ave,Trump Taj Mahal,Atlantic City,,-74.422012,"[(u'Location', u'4 of 5 stars'), (u'Sleep Quality', u'4 of 5 stars'), (u'Rooms', u'4 of 5 stars'), (u'Service', u'3.5 of 5 stars'), (u'Value', u'3.5 of 5 stars'), (u'Cleanliness', u'4 of 5 stars')]",NJ,"Pool,Room Service,Restaurant,Fitness Center with Gym / Workout Room,Bar/Lounge,Spa",3.5,39.361332,"[(u'Excellent', u'461'), (u'Very good', u'694'), (u'Average', u'458'), (u'Poor', u'246'), (u'Terrible', u'206')]","Trump Taj Mahal Hotel Atlantic City,Trump Taj Mahal Atlantic City,Taj Mahal Atlantic City,Trump Ac"
http://www.tripadvisor.com/Hotel_Review-g29092-d78944-Reviews-Ramada_Anaheim_Maingate_At_the_Park-Anaheim_California.html,186,$$,92802,1650 S Harbor Blvd,Ramada Anaheim Maingate/At the Park,Anaheim,,-117.913185,"[(u'Location', u'4.5 of 5 stars'), (u'Sleep Quality', u'3.5 of 5 stars'), (u'Rooms', u'3.5 of 5 stars'), (u'Service', u'4 of 5 stars'), (u'Value', u'4 of 5 stars'), (u'Cleanliness', u'4 of 5 stars')]",CA,"Pool,Free Breakfast,Free High Speed Internet ( WiFi ),Restaurant",3.5,33.807800,"[(u'Excellent', u'759'), (u'Very good', u'956'), (u'Average', u'670'), (u'Poor', u'297'), (u'Terrible', u'168')]","Ramada Maingate - At The Park Hotel Anaheim,Ramada Inn Anaheim,Disneyland Park Anaheim,Ramada Anaheim,Ramada Inn Maingate Disneyland"
http://www.tripadvisor.com/Hotel_Review-g34515-d112092-Reviews-Hyatt_Regency_Orlando-Orlando_Florida.html,1639,$$,32803,9801 International Drive,Hyatt Regency Orlando,Orlando,,-81.468781,"[(u'Location', u'4.5 of 5 stars'), (u'Sleep Quality', u'4.5 of 5 stars'), (u'Rooms', u'4.5 of 5 stars'), (u'Service', u'4.5 of 5 stars'), (u'Value', u'4 of 5 stars'), (u'Cleanliness', u'4.5 of 5 stars')]",FL,"Pool,Room Service,Fitness Center with Gym / Workout Room,Restaurant,Free High Speed Internet ( WiFi ),Bar/Lounge,Spa",4.5,28.427679,"[(u'Excellent', u'1,667'), (u'Very good', u'805'), (u'Average', u'263'), (u'Poor', u'109'), (u'Terrible', u'68')]","The Peabody Orlando Hotel Orlando,The Peabody Hotel Orlando,Peabody Orlando,Peabody Hotel Orlando Fl"
http://www.tripadvisor.com/Hotel_Review-g36344-d236759-Reviews-Super_8_Mchenry-McHenry_Illinois.html,55,$,60050,110 State Rte 31 South,Super 8 Mchenry,McHenry,,-88.273750,"[(u'Location', u'4 of 5 stars'), (u'Sleep Quality', u'3.5 of 5 stars'), (u'Rooms', u'2.5 of 5 stars'), (u'Service', u'3 of 5 stars'), (u'Value', u'3 of 5 stars'), (u'Cleanliness', u'3 of 5 stars')]",IL,"Free Breakfast,Free Parking,Free High Speed Internet ( WiFi )",3.0,42.327911,"[(u'Excellent', u'5'), (u'Very good', u'10'), (u'Average', u'9'), (u'Poor', u'4'), (u'Terrible', u'9')]","Super Eight Mchenry,Mchenry Super Eight,Mchenry Super 8"
http://www.tripadvisor.com/Hotel_Review-g54359-d224300-Reviews-Hampton_Inn_Suites_Myrtle_Beach_Oceanfront-Myrtle_Beach_South_Carolina.html,227,$$,29577,1801 South Ocean Boulevard,Hampton Inn & Suites Myrtle Beach/Oceanfront,Myrtle Beach,,-78.902878,"[(u'Location', u'4.5 of 5 stars'), (u'Sleep Quality', u'4.5 of 5 stars'), (u'Rooms', u'4.5 of 5 stars'), (u'Service', u'4.5 of 5 stars'), (u'Value', u'4.5 of 5 stars'), (u'Cleanliness', u'4.5 of 5 stars')]",SC,"Pool,Free Parking,Fitness Center with Gym / Workout Room,Beach,Free High Speed Internet ( WiFi ),Free Breakfast,Spa",4.5,33.671497,"[(u'Excellent', u'1,302'), (u'Very good', u'406'), (u'Average', u'103'), (u'Poor', u'35'), (u'Terrible', u'19')]","Hampton Inn And Suites Myrtle Beach / Oceanfront,Hampton Inn & Suites Myrtle Beach / Oceanfront Hotel Myrtle Beach,Hampton Inn Myrtle Beach Sc,Myrtle Beach Hampton Inn"
